;Year;Subgroup;Penalty;Old Quality;New Quality
0;0;EURef2016=='Remain';0.943479397;0.158597785;0.149633742
1;0;Poscountry=='Very negative effect';0.899477581;0.106728657;0.096000034
2;0;EURef2016=='Remain' AND Poscountry=='Very negative effect';0.917438966;0.100387757;0.09209964
3;0;EURef2016=='Remain' AND sex=='Woman';0.945103847;0.095298028;0.090066533
4;0;EURef2016=='Remain' AND Posind=='Somewhat negative effect';0.911934819;0.085368256;0.077850285
5;0;Posind=='Somewhat negative effect';0.938272557;0.083865448;0.078688648
6;0;EURef2016=='Remain' AND Govthand=='Very badly';0.814723852;0.079419055;0.064704598
7;0;Govthand=='Very badly';0.762428179;0.077124658;0.058802012
8;0;EURef2016=='Remain' AND work_stat=='Working full time (30 or more hours per week)';0.918442236;0.075803263;0.069620919
9;0;Poscountry=='Somewhat negative effect';0.786242497;0.074027359;0.058203455
10;1;EURef2016=='Remain';0.943479397;0.172531131;0.162779567
11;1;Poscountry=='Very negative effect';0.899477581;0.12112067;0.108945328
12;1;EURef2016=='Remain' AND Poscountry=='Very negative effect';0.917438966;0.11430689;0.104869595
13;1;EURef2016=='Remain' AND sex=='Woman';0.945103847;0.105777381;0.09997061
14;1;EURef2016=='Remain' AND Govthand=='Very badly';0.814723852;0.101711225;0.082866561
15;1;EURef2016=='Remain' AND Posind=='Somewhat negative effect';0.911934819;0.095917055;0.087470102
16;1;Posind=='Somewhat negative effect';0.938272557;0.094692704;0.088847566
17;1;Govthand=='Very badly' AND Poscountry=='Very negative effect';0.801790949;0.092956501;0.074531681
18;1;EURef2016=='Remain' AND Govthand=='Very badly' AND Poscountry=='Very negative effect';0.813411287;0.086560392;0.0704092
19;1;Govthand=='Very badly';0.762428179;0.085692291;0.065334217
20;2;EURef2016=='Remain';0.943479397;0.172766252;0.163001399
21;2;Poscountry=='Very negative effect';0.899477581;0.123867482;0.111416023
22;2;EURef2016=='Remain' AND Poscountry=='Very negative effect';0.917438966;0.11758554;0.107877556
23;2;EURef2016=='Remain' AND Govthand=='Very badly';0.814723852;0.112184987;0.091399785
24;2;Govthand=='Very badly' AND Poscountry=='Very negative effect';0.801790949;0.098212129;0.078745596
25;2;EURef2016=='Remain' AND Posind=='Somewhat negative effect';0.911934819;0.097329961;0.08875858
26;2;EURef2016=='Remain' AND sex=='Woman';0.945103847;0.094775413;0.089572608
27;2;EURef2016=='Remain' AND Govthand=='Very badly' AND Poscountry=='Very negative effect';0.813411287;0.093722578;0.076235003
28;2;Posind=='Somewhat negative effect';0.938272557;0.093612697;0.087834225
29;2;EURef2016=='Remain' AND work_stat=='Working full time (30 or more hours per week)';0.918442236;0.083677395;0.076852853
30;3;EURef2016=='Remain';0.943479397;0.175605794;0.165680449
31;3;Poscountry=='Very negative effect';0.899477581;0.124005887;0.111540516
32;3;EURef2016=='Remain' AND Poscountry=='Very negative effect';0.917438966;0.111528506;0.102320598
33;3;EURef2016=='Remain' AND Govthand=='Very badly';0.814723852;0.11026974;0.089839387
34;3;EURef2016=='Remain' AND sex=='Woman';0.945103847;0.101020629;0.095474985
35;3;Govthand=='Very badly' AND Poscountry=='Very negative effect';0.801790949;0.097551362;0.078215799
36;3;Posind=='Somewhat negative effect';0.938272557;0.091879082;0.086207621
37;3;EURef2016=='Remain' AND Posind=='Somewhat negative effect';0.911934819;0.091292248;0.083252579
38;3;EURef2016=='Remain' AND Govthand=='Very badly' AND Poscountry=='Very negative effect';0.813411287;0.08850172;0.071988298
39;3;EURef2016=='Remain' AND Tradeimmig<2;0.8;0.083723308;0.066978647
40;4;EURef2016=='Remain';0.943479397;0.159437037;0.15042556
41;4;Poscountry=='Very negative effect';0.899477581;0.116427079;0.104723547
42;4;EURef2016=='Remain' AND Poscountry=='Very negative effect';0.917438966;0.103489047;0.094944885
43;4;Posind=='Somewhat negative effect';0.938272557;0.097877668;0.091835929
44;4;EURef2016=='Remain' AND sex=='Woman';0.945103847;0.08931434;0.084411326
45;4;EURef2016=='Remain' AND Posind=='Somewhat negative effect';0.911934819;0.089139844;0.081289728
46;4;EURef2016=='Remain' AND Govthand=='Very badly';0.814723852;0.086496341;0.070470632
47;4;Govthand=='Very badly' AND Poscountry=='Very negative effect';0.801790949;0.080091404;0.064216563
48;4;Govthand=='Very badly';0.762428179;0.073286067;0.055875363
49;4;EURef2016=='Remain' AND work_stat=='Working full time (30 or more hours per week)';0.918442236;0.071368786;0.065548107
50;5;EURef2016=='Remain';0.943479397;0.162394458;0.153215825
51;5;Poscountry=='Very negative effect';0.899477581;0.131591753;0.118363832
52;5;EURef2016=='Remain' AND Poscountry=='Very negative effect';0.917438966;0.119215257;0.109372722
53;5;EURef2016=='Remain' AND Govthand=='Very badly';0.814723852;0.117557924;0.095777245
54;5;Govthand=='Very badly' AND Poscountry=='Very negative effect';0.801790949;0.112778282;0.090424605
55;5;EURef2016=='Remain' AND Govthand=='Very badly' AND Poscountry=='Very negative effect';0.813411287;0.102227272;0.083152817
56;5;EURef2016=='Remain' AND sex=='Woman';0.945103847;0.093269265;0.088149141
57;5;Posind=='Somewhat negative effect';0.938272557;0.088983893;0.083491145
