;Subgroup;Wave1;Wave2;Wave3;Wave4;Wave5;Wave6;Wave7;Wave8;Wave9;Wave10;Penalty
0;EURef2016=='Remain';0.158597785;0.172531131;0.172766252;0.175605794;0.159437037;0.162394458;0.155515007;0.159348701;0.150040383;0.158188669;0.943479397
1;Poscountry=='Very negative effect';0.106728657;0.12112067;0.123867482;0.124005887;0.116427079;0.131591753;0.125862918;0.141330152;0.149433018;0.121648563;0.899477581
2;EURef2016=='Remain' AND Poscountry=='Very negative effect';0.100387757;0.11430689;0.11758554;0.111528506;0.103489047;0.119215257;0.10724774;0.12015532;0.126745362;0.108319026;0.917438966
3;EURef2016=='Remain' AND Govthand=='Very badly';0.079419055;0.101711225;0.112184987;0.11026974;0.086496341;0.117557924;0.09213492;0.128214138;0.143008766;0.104183855;0.814723852
4;Govthand=='Very badly';0.077124658;0.085692291;0.081316114;0.082896838;0.073286067;0.064977401;0.053532486;0.04156144;0.086762698;0.102452968;0.762428179
5;Govthand=='Very badly' AND Poscountry=='Very negative effect';0.069344932;0.092956501;0.098212129;0.097551362;0.080091404;0.112778282;0.09111029;0.121170558;0.14057473;0.098568426;0.801790949
6;EURef2016=='Remain' AND sex=='Woman';0.095298028;0.105777381;0.094775413;0.101020629;0.08931434;0.093269265;0.089419028;0.095221395;0.093861079;0.092721705;0.945103847
7;Posind=='Somewhat negative effect';0.083865448;0.094692704;0.093612697;0.091879082;0.097877668;0.088983893;0.087895461;0.09983564;0.095222308;0.088298369;0.938272557
8;EURef2016=='Remain' AND Govthand=='Very badly' AND Poscountry=='Very negative effect';0.066403298;0.086560392;0.093722578;0.08850172;0.071048756;0.102227272;0.076306479;0.103931639;0.120165453;0.087261354;0.813411287
9;EURef2016=='Remain' AND work_stat=='Working full time (30 or more hours per week)';0.075803263;0.085090352;0.083677395;0.075558684;0.071368786;0.079865375;0.072945813;0.080019735;0.068307136;0.081903377;0.918442236
