;Subgroup;Wave1;Wave2;Wave3;Wave4;Wave5;Wave6;Wave7;Wave8;Wave9;Wave10;Penalty
0;GEvote2015=='Missing' AND Hindsight=='Wrong';0;0;0;0;0.001531364;0.194650673;0;0;0;0.193044526;0.489056633
1;Hindsight=='Wrong' AND profile_gross_personal=='Not Asked or missing';0.030610943;0.045485257;0.031313075;0.202900406;0.013819199;0.017675886;0.012017074;0.024025637;0.012945409;0.193044526;0.43193953
2;Hindsight=='Wrong';0.18705361;0.19412721;0.184236776;0.202900406;0.186359351;0.194650673;0.194246697;0.199611587;0.192289981;0.193044526;0.965679734
3;GEvote2015=='Missing' AND Hindsight=='Wrong' AND profile_gross_personal=='Not Asked or missing';0;0;0;0;0.000881168;0.017675886;0;0;0;0.193044526;0.469910661
4;EURef2016=='Remain' AND GEvote2015=='Missing' AND Hindsight=='Wrong' AND profile_gross_personal=='Not Asked or missing';0;0;0;0;0.000881168;0.013249112;0;0;0;0.167543422;0.470018793
5;EURef2016=='Remain' AND Hindsight=='Wrong';0.174803693;0.183709988;0.178075626;0.187473875;0.168932216;0.170797049;0.166617489;0.174583148;0.161098841;0.167543422;0.947027225
6;EURef2016=='Remain' AND GEvote2015=='Missing' AND Hindsight=='Wrong';0;0;0;0;0.001622594;0.170797049;0;0;0;0.167543422;0.488891891
7;EURef2016=='Remain' AND Hindsight=='Wrong' AND profile_gross_personal=='Not Asked or missing';0.030723303;0.042934184;0.027694003;0.187473875;0.012470296;0.013249112;0.012251092;0.020633974;0.010252709;0.167543422;0.422870157
8;EURef2016=='Remain' AND profile_gross_personal=='Not Asked or missing';0.027723928;0.039830311;0.026496997;0.175605794;0.012148094;0.013363762;0.011354588;0.019137572;0.009357685;0.158188669;0.422269601
9;EURef2016=='Remain';0.158597785;0.172531131;0.172766252;0.175605794;0.159437037;0.162394458;0.155515007;0.159348701;0.150040383;0.158188669;0.943479397
