age,sex,region,EURef2016,education_level,work_stat,work_type,Poscountry,Posind,Govthand,Tradeimmig,BrexitID
60,"Man","North West","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
42,"Woman","Wales","Did not vote","Other technical, professional or higher qualification","Working part time (8-29 hours a week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Don't know","Don't know","Very badly",5,"Neither a Leaver nor a Remainer"
52,"Woman","East of England","Leave","GCE A level or Higher Certificate","Working part time (8-29 hours a week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don't know","Neither positive nor negative","Don't know",4,"Neither a Leaver nor a Remainer"
44,"Woman","South East","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Working part time (8-29 hours a week)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Neither positive nor negative","Somewhat positive effect","Very badly",10,"a Leaver"
68,"Man","West Midlands","Did not vote","CSE grades 2-5","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Very positive effect","Very well",10,"a Leaver"
54,"Man","London","Remain","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
59,"Man","Yorkshire and the Humber","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Somewhat negative effect","Don't know",2,"a Remainer"
70,"Woman","North West","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Somewhat negative effect","Don't know",3,"a Remainer"
46,"Woman","London","Leave","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat positive effect","Neither positive nor negative","Fairly well",5,"a Leaver"
54,"Man","North West","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
60,"Man","South West","Remain","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
76,"Man","Scotland","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Very positive effect","Fairly well",10,"Neither a Leaver nor a Remainer"
67,"Man","Wales","Remain","CSE grade 1, GCE O level, GCSE, School Certificate","Retired","Skilled Manual Work (e.g. plumber, electrician, fitter)","Somewhat negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
73,"Woman","East of England","Leave","Other technical, professional or higher qualification","Retired","Other","Somewhat positive effect","Neither positive nor negative","Very badly",8,"a Leaver"
72,"Man","East Midlands","Remain","GCE A level or Higher Certificate","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Neither positive nor negative","Don't know",0,"a Remainer"
52,"Man","West Midlands","Remain","Other technical, professional or higher qualification","Other","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Somewhat negative effect","Don't know",0,"a Remainer"
62,"Woman","North West","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Other","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Very negative effect","Somewhat negative effect","Very badly",5,"Don’t know"
47,"Woman","South West","Remain","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Neither positive nor negative","Neither positive nor negative","Fairly well",4,"a Remainer"
60,"Man","Scotland","Remain","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat negative effect","Neither positive nor negative","Fairly badly",3,"a Remainer"
