age,sex,region,EURef2016,education_age,work_stat,work_organisation,work_type,Poscountry,Posind,Govthand,Tradeimmig,BrexitID
53,"Man","London","Remain","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Very negative effect","Somewhat negative effect","Fairly badly",3,"a Remainer"
39,"Woman","North East","Leave","16","Unemployed","Self-employed","Other","Somewhat positive effect","Neither positive nor negative","Fairly well",9,"a Leaver"
55,"Man","Wales","Remain","17-18","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
66,"Man","West Midlands","Leave","15 or under","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat positive effect","Somewhat positive effect","Very well",8,"Neither a Leaver nor a Remainer"
41,"Man","South East","Remain","17-18","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Foreman or Supervisor of Other Workers (e.g. building site foreman, supervisor of cleaning workers)","Very negative effect","Somewhat negative effect","Very badly",5,"a Remainer"
66,"Man","East of England","Remain","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Neither positive nor negative","Don't know",4,"a Remainer"
63,"Man","South West","Leave","15 or under","Retired","Other","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Very positive effect","Don't know",4,"Neither a Leaver nor a Remainer"
60,"Man","North West","Leave","15 or under","Not working","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat positive effect","Don't know","Fairly badly",4,"Neither a Leaver nor a Remainer"
62,"Man","Yorkshire and the Humber","Remain","16","Retired","Charity/voluntary sector","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat negative effect","Neither positive nor negative","Fairly well",4,"a Remainer"
76,"Man","North West","Leave","19","Retired","Other public sector employer (e.g. Central Government)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat positive effect","Somewhat positive effect","Fairly well",10,"a Leaver"
35,"Woman","South East","Leave","17-18","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat positive effect","Neither positive nor negative","Very badly",10,"a Leaver"
72,"Woman","North West","Leave","16","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Very positive effect","Don't know",5,"a Leaver"
44,"Woman","North West","Leave","16","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Neither positive nor negative","Neither positive nor negative","Don't know",3,"a Leaver"
44,"Man","East of England","Did not vote","20+","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat positive effect","Neither positive nor negative","Very badly",3,"Neither a Leaver nor a Remainer"
49,"Woman","West Midlands","Remain","17-18","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Don't know","Don't know",4,"a Remainer"
45,"Woman","West Midlands","Did not vote","20+","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Somewhat negative effect","Don't know",2,"Neither a Leaver nor a Remainer"
61,"Man","Scotland","Leave","16","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Very positive effect","Don't know",5,"a Leaver"
77,"Woman","Yorkshire and the Humber","Remain","16","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Don't know","Don't know","Don't know",3,"Neither a Leaver nor a Remainer"
70,"Man","West Midlands","Remain","17-18","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat negative effect","Somewhat negative effect","Don't know",0,"a Remainer"
47,"Woman","West Midlands","Did not vote","16","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Don't know","Don't know",5,"a Remainer"
55,"Man","Wales","Did not vote","17-18","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Don't know","Don't know","Don't know",10,"Don’t know"
48,"Woman","South East","Leave","17-18","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Somewhat positive effect","Somewhat positive effect","Don't know",9,"a Leaver"
42,"Man","North West","Leave","20+","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very positive effect","Somewhat positive effect","Fairly badly",10,"a Leaver"
66,"Woman","South East","Leave","15 or under","Retired","Other","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Somewhat positive effect","Fairly well",7,"a Leaver"
67,"Woman","West Midlands","Remain","17-18","Retired","Other public sector employer (e.g. Central Government)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat negative effect","Somewhat negative effect","Fairly well",3,"a Remainer"
66,"Man","Yorkshire and the Humber","Leave","15 or under","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very positive effect","Very positive effect","Fairly badly",10,"a Leaver"
33,"Woman","Scotland","Remain","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Somewhat negative effect","Fairly badly",0,"a Remainer"
68,"Man","East Midlands","Remain","16","Working part time (8-29 hours a week)","Self-employed","Skilled Manual Work (e.g. plumber, electrician, fitter)","Very negative effect","Neither positive nor negative","Very badly",0,"a Remainer"
52,"Woman","West Midlands","Remain","20+","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
86,"Man","South East","Leave","15 or under","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very positive effect","Somewhat positive effect","Fairly well",10,"a Leaver"
51,"Man","West Midlands","Leave","16","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Very positive effect","Very positive effect","Fairly well",10,"a Leaver"
56,"Man","London","Leave","17-18","Working full time (30 or more hours per week)","Charity/voluntary sector","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Somewhat positive effect","Don't know","Fairly well",9,"a Leaver"
71,"Woman","West Midlands","Remain","15 or under","Retired","Other","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Neither positive nor negative","Neither positive nor negative","Don't know",5,"Don’t know"
59,"Man","Wales","Leave","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very positive effect","Very positive effect","Fairly badly",10,"a Leaver"
71,"Man","East of England","Leave","20+","Retired","Other public sector employer (e.g. Central Government)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat positive effect","Neither positive nor negative","Fairly well",3,"a Leaver"
75,"Man","Yorkshire and the Humber","Leave","15 or under","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Neither positive nor negative","Neither positive nor negative","Very well",7,"a Leaver"
33,"Woman","South West","Leave","16","Not working","Private sector firm or company (e.g. limited companies and Plcs)","Have never worked","Somewhat positive effect","Neither positive nor negative","Don't know",9,"a Leaver"
66,"Woman","South East","Leave","17-18","Retired","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Neither positive nor negative","Neither positive nor negative","Fairly badly",5,"Neither a Leaver nor a Remainer"
70,"Man","East of England","Remain","20+","Retired","Other public sector employer (e.g. Central Government)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Somewhat negative effect","Don't know",3,"a Remainer"
46,"Man","South East","Remain","16","Working full time (30 or more hours per week)","Self-employed","Skilled Manual Work (e.g. plumber, electrician, fitter)","Somewhat negative effect","Don't know","Don't know",4,"a Remainer"
61,"Man","South West","Did not vote","17-18","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat negative effect","Neither positive nor negative","Very badly",2,"a Remainer"
