age,sex,region,GEvote2015,EURef2016,political_attention,profile_gross_personal,profile_gross_household,education_age,education_level,socialgradeCIE1,work_stat,work_organisation,work_type,Hindsight,Poscountry,Posind,newspaper_readership,Govthand,Tradeimmig,BrexitID
53,"Man","London","Other","Remain",10,"£70,000 to £99,999 per year","£70,000 to £99,999 per year","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Wrong","Very negative effect","Somewhat negative effect","The Guardian","Fairly badly",3,"a Remainer"
39,"Woman","North East","Labour","Leave",4,"£30,000 to £34,999 per year","£30,000 to £34,999 per year","16","CSE grades 2-5","D","Unemployed","Self-employed","Other","Right","Somewhat positive effect","Neither positive nor negative","The Daily Mail / The Scottish Daily Mail","Fairly well",9,"a Leaver"
55,"Man","Wales","Labour","Remain",5,"£20,000 to £24,999 per year","£20,000 to £24,999 per year","17-18","City & Guilds certificate - advanced","D","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Very negative effect","Very negative effect","None","Very badly",0,"a Remainer"
66,"Man","West Midlands","Other","Leave",10,"£25,000 to £29,999 per year","£25,000 to £29,999 per year","15 or under","No formal qualifications","D","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Right","Somewhat positive effect","Somewhat positive effect","Other Newspaper","Very well",8,"Neither a Leaver nor a Remainer"
41,"Man","South East","UKIP","Remain",1,"£25,000 to £29,999 per year","£50,000 to £59,999 per year","17-18","Prefer not to say","AB","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Foreman or Supervisor of Other Workers (e.g. building site foreman, supervisor of cleaning workers)","Wrong","Very negative effect","Somewhat negative effect","None","Very badly",5,"a Remainer"
66,"Man","East of England","Conservative","Remain",5,"Prefer not to answer","Prefer not to answer","20+","Other technical, professional or higher qualification","AB","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Neither positive nor negative","The Times","Don't know",4,"a Remainer"
63,"Man","South West","Conservative","Leave",10,"£35,000 to £39,999 per year","£40,000 to £44,999 per year","15 or under","University diploma","AB","Retired","Other","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Very positive effect","Very positive effect","The Daily Telegraph","Don't know",4,"Neither a Leaver nor a Remainer"
60,"Man","North West","Conservative","Leave",6,"£5,000 to £9,999 per year","£5,000 to £9,999 per year","15 or under","Teaching qualification (not degree)","E","Not working","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Somewhat positive effect","Don't know","The Independent","Fairly badly",4,"Neither a Leaver nor a Remainer"
62,"Man","Yorkshire and the Humber","Conservative","Remain",8,"£15,000 to £19,999 per year","£15,000 to £19,999 per year","16","GCE A level or Higher Certificate","AB","Retired","Charity/voluntary sector","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Somewhat negative effect","Neither positive nor negative","The Daily Mail / The Scottish Daily Mail","Fairly well",4,"a Remainer"
76,"Man","North West","Conservative","Leave",5,"£20,000 to £24,999 per year","£25,000 to £29,999 per year","19","University diploma","AB","Retired","Other public sector employer (e.g. Central Government)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Somewhat positive effect","Somewhat positive effect","The Daily Telegraph","Fairly well",10,"a Leaver"
35,"Woman","South East","UKIP","Leave",7,"£20,000 to £24,999 per year","£45,000 to £49,999 per year","17-18","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","AB","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Somewhat positive effect","Neither positive nor negative","The Daily Mail / The Scottish Daily Mail","Very badly",10,"a Leaver"
72,"Woman","North West","Labour","Leave",3,"£5,000 to £9,999 per year","£5,000 to £9,999 per year","16","CSE grade 1, GCE O level, GCSE, School Certificate","E","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Very positive effect","Very positive effect","The Daily Mail / The Scottish Daily Mail","Don't know",5,"a Leaver"
44,"Woman","North West","UKIP","Leave",0,"Prefer not to answer","Prefer not to answer","16","CSE grade 1, GCE O level, GCSE, School Certificate","C2","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Right","Neither positive nor negative","Neither positive nor negative","The Daily Mail / The Scottish Daily Mail","Don't know",3,"a Leaver"
44,"Man","East of England","Labour","Did not vote",5,"£70,000 to £99,999 per year","£70,000 to £99,999 per year","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","AB","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Somewhat positive effect","Neither positive nor negative","None","Very badly",3,"Neither a Leaver nor a Remainer"
49,"Woman","West Midlands","UKIP","Remain",5,"£15,000 to £19,999 per year","£35,000 to £39,999 per year","17-18","CSE grade 1, GCE O level, GCSE, School Certificate","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Don't know","None","Don't know",4,"a Remainer"
45,"Woman","West Midlands","DK or did not vote","Did not vote",4,"£20,000 to £24,999 per year","£20,000 to £24,999 per year","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C1","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Very negative effect","Somewhat negative effect","Other local daily morning newspaper","Don't know",2,"Neither a Leaver nor a Remainer"
61,"Man","Scotland","Labour","Leave",7,"£20,000 to £24,999 per year","£20,000 to £24,999 per year","16","CSE grade 1, GCE O level, GCSE, School Certificate","AB","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Very positive effect","Very positive effect","None","Don't know",5,"a Leaver"
77,"Woman","Yorkshire and the Humber","Labour","Remain",5,"£5,000 to £9,999 per year","£5,000 to £9,999 per year","16","Don't know","D","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Don’t know","Don't know","Don't know","None","Don't know",3,"Neither a Leaver nor a Remainer"
70,"Man","West Midlands","Liberal Democrat","Remain",7,"£10,000 to £14,999 per year","£5,000 to £9,999 per year","17-18","CSE grade 1, GCE O level, GCSE, School Certificate","E","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Wrong","Somewhat negative effect","Somewhat negative effect","Other Newspaper","Don't know",0,"a Remainer"
47,"Woman","West Midlands","DK or did not vote","Did not vote",1,"Prefer not to answer","Prefer not to answer","16","CSE grade 1, GCE O level, GCSE, School Certificate","C2","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don’t know","Somewhat negative effect","Don't know","None","Don't know",5,"a Remainer"
55,"Man","Wales","DK or did not vote","Did not vote",5,"£25,000 to £29,999 per year","£25,000 to £29,999 per year","17-18","GCE A level or Higher Certificate","AB","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Don’t know","Don't know","Don't know","None","Don't know",10,"Don’t know"
48,"Woman","South East","Conservative","Leave",3,"under £5,000 per year","£25,000 to £29,999 per year","17-18","CSE grade 1, GCE O level, GCSE, School Certificate","AB","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Right","Somewhat positive effect","Somewhat positive effect","None","Don't know",9,"a Leaver"
42,"Man","North West","UKIP","Leave",10,"£35,000 to £39,999 per year","£50,000 to £59,999 per year","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","AB","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Very positive effect","Somewhat positive effect","The Guardian","Fairly badly",10,"a Leaver"
66,"Woman","South East","Conservative","Leave",7,"£20,000 to £24,999 per year","£15,000 to £19,999 per year","15 or under","CSE grades 2-5","C1","Retired","Other","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Very positive effect","Somewhat positive effect","The Daily Mail / The Scottish Daily Mail","Fairly well",7,"a Leaver"
67,"Woman","West Midlands","Conservative","Remain",8,"£10,000 to £14,999 per year","£35,000 to £39,999 per year","17-18","City & Guilds certificate","C2","Retired","Other public sector employer (e.g. Central Government)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Somewhat negative effect","Somewhat negative effect","The Express","Fairly well",3,"a Remainer"
66,"Man","Yorkshire and the Humber","UKIP","Leave",7,"£10,000 to £14,999 per year","£15,000 to £19,999 per year","15 or under","No formal qualifications","D","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Right","Very positive effect","Very positive effect","The Express","Fairly badly",10,"a Leaver"
33,"Woman","Scotland","Labour","Remain",8,"Prefer not to answer","Prefer not to answer","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Very negative effect","Somewhat negative effect","None","Fairly badly",0,"a Remainer"
68,"Man","East Midlands","Labour","Remain",7,"£10,000 to £14,999 per year","£25,000 to £29,999 per year","16","City & Guilds certificate - advanced","C2","Working part time (8-29 hours a week)","Self-employed","Skilled Manual Work (e.g. plumber, electrician, fitter)","Wrong","Very negative effect","Neither positive nor negative","Other Newspaper","Very badly",0,"a Remainer"
52,"Woman","West Midlands","Labour","Remain",9,"£30,000 to £34,999 per year","Prefer not to answer","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","C2","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Very negative effect","The Independent","Very badly",0,"a Remainer"
86,"Man","South East","UKIP","Leave",3,"£15,000 to £19,999 per year","£15,000 to £19,999 per year","15 or under","Prefer not to say","E","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Very positive effect","Somewhat positive effect","None","Fairly well",10,"a Leaver"
51,"Man","West Midlands","UKIP","Leave",6,"£20,000 to £24,999 per year","£20,000 to £24,999 per year","16","CSE grade 1, GCE O level, GCSE, School Certificate","C2","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Right","Very positive effect","Very positive effect","Other local daily morning newspaper","Fairly well",10,"a Leaver"
56,"Man","London","Conservative","Leave",6,"£25,000 to £29,999 per year","£45,000 to £49,999 per year","17-18","CSE grade 1, GCE O level, GCSE, School Certificate","D","Working full time (30 or more hours per week)","Charity/voluntary sector","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Right","Somewhat positive effect","Don't know","The Sun","Fairly well",9,"a Leaver"
71,"Woman","West Midlands","Labour","Remain",4,"£10,000 to £14,999 per year","£10,000 to £14,999 per year","15 or under","No formal qualifications","E","Retired","Other","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Don’t know","Neither positive nor negative","Neither positive nor negative","None","Don't know",5,"Don’t know"
59,"Man","Wales","UKIP","Leave",9,"£30,000 to £34,999 per year","£45,000 to £49,999 per year","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Very positive effect","Very positive effect","None","Fairly badly",10,"a Leaver"
71,"Man","East of England","UKIP","Leave",7,"£30,000 to £34,999 per year","£40,000 to £44,999 per year","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","AB","Retired","Other public sector employer (e.g. Central Government)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Somewhat positive effect","Neither positive nor negative","None","Fairly well",3,"a Leaver"
75,"Man","Yorkshire and the Humber","Conservative","Leave",7,"£15,000 to £19,999 per year","£20,000 to £24,999 per year","15 or under","City & Guilds certificate","E","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Right","Neither positive nor negative","Neither positive nor negative","None","Very well",7,"a Leaver"
33,"Woman","South West","Conservative","Leave",7,"under £5,000 per year","Prefer not to answer","16","CSE grade 1, GCE O level, GCSE, School Certificate","C1","Not working","Private sector firm or company (e.g. limited companies and Plcs)","Have never worked","Right","Somewhat positive effect","Neither positive nor negative","None","Don't know",9,"a Leaver"
66,"Woman","South East","Conservative","Leave",7,"Prefer not to answer","Prefer not to answer","17-18","Clerical and commercial","C2","Retired","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Neither positive nor negative","Neither positive nor negative","The Daily Mail / The Scottish Daily Mail","Fairly badly",5,"Neither a Leaver nor a Remainer"
70,"Man","East of England","Conservative","Remain",9,"£70,000 to £99,999 per year","£70,000 to £99,999 per year","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","AB","Retired","Other public sector employer (e.g. Central Government)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Somewhat negative effect","Somewhat negative effect","The Daily Telegraph","Don't know",3,"a Remainer"
46,"Man","South East","Liberal Democrat","Remain",1,"Don't know","Prefer not to answer","16","CSE grade 1, GCE O level, GCSE, School Certificate","C1","Working full time (30 or more hours per week)","Self-employed","Skilled Manual Work (e.g. plumber, electrician, fitter)","Wrong","Somewhat negative effect","Don't know","None","Don't know",4,"a Remainer"
61,"Man","South West","DK or did not vote","Did not vote",7,"£60,000 to £69,999 per year","£45,000 to £49,999 per year","17-18","University or CNAA higher degree (e.g. M.Sc, Ph.D)","AB","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Somewhat negative effect","Neither positive nor negative","None","Very badly",2,"a Remainer"
48,"Woman","Scotland","SNP","Leave",5,"Prefer not to answer","£15,000 to £19,999 per year","17-18","CSE grade 1, GCE O level, GCSE, School Certificate","D","Working part time (8-29 hours a week)","Nationalised industry or public corporation (e.g. Post Office)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Right","Neither positive nor negative","Neither positive nor negative","None","Don't know",8,"a Leaver"
69,"Woman","East of England","Conservative","Leave",3,"£10,000 to £14,999 per year","£10,000 to £14,999 per year","15 or under","Other technical, professional or higher qualification","C2","Retired","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don’t know","Don't know","Don't know","Other local daily morning newspaper","Don't know",6,"Neither a Leaver nor a Remainer"
73,"Woman","Wales","Labour","Remain",10,"£10,000 to £14,999 per year","£40,000 to £44,999 per year","17-18","University or CNAA higher degree (e.g. M.Sc, Ph.D)","AB","Retired","Other public sector employer (e.g. Central Government)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Somewhat negative effect","The Guardian","Fairly badly",0,"a Remainer"
64,"Woman","Wales","DK or did not vote","Remain",5,"Prefer not to answer","Don't know","20+","Prefer not to say","AB","Working full time (30 or more hours per week)","Other","Other","Don’t know","Don't know","Don't know","None","Don't know",5,"Don’t know"
78,"Man","West Midlands","Conservative","Remain",5,"£35,000 to £39,999 per year","£35,000 to £39,999 per year","17-18","Don't know","AB","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Very positive effect","Very positive effect","The Daily Telegraph","Very well",7,"a Leaver"
