,Index,Wave,ID,age,sex,ethnicity1,ethnicity2,region,GEvote2015,EURef2016,GEvote2017,GEvote2019,partyid,political_attention,newspaper_readership,profile_gross_personal,profile_gross_household,education_age,education_level,socialgradeCIE1,socialgradeCIE2,work_stat,work_organisation,work_type,Weight,starttime,endtime,Hindsight,Poscountry,Posind,Govthand,Tradeimmig,BrexitID,Leaverimport,Remainimport,Genecon
4842,4842,4.0,1.0,52.0,Man,,,East Midlands,Conservative,Leave,Conservative,Missing,Yes - Labour,,,Not Asked or missing,Not Asked or missing,16,CSE grades 2-5,,C1,Working full time (30 or more hours per week),Private sector firm or company (e.g. limited companies and Plcs),"Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b",0.960340703372244,2018-01-09 20:46:28,2018-01-09 21:06:31,Right,Very positive effect,Very positive effect,Fairly well,5.0,a Leaver,,,The same
4843,4843,4.0,2.0,52.0,Woman,,,West Midlands,UKIP,Leave,DK or did not vote,Missing,No don’t think of myself as any of these,,,Not Asked or missing,Not Asked or missing,17-18,GCE A level or Higher Certificate,,E,Not working,Private sector firm or company (e.g. limited companies and Plcs),Other,0.701792066883459,2018-01-09 18:16:44,2018-01-09 18:30:57,Right,Very positive effect,Very positive effect,Fairly badly,10.0,a Leaver,,,The same
4844,4844,4.0,3.0,40.0,Woman,,,East of England,Conservative,Leave,Labour,Missing,Yes - Conservative,,,Not Asked or missing,Not Asked or missing,20+,University diploma,,A,Working full time (30 or more hours per week),Self-employed,"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.820268158020184,2018-01-09 19:41:26,2018-01-09 19:49:33,Don’t know,Neither positive nor negative,Neither positive nor negative,Don't know,3.0,Neither a Leaver nor a Remainer,,,The same
4845,4845,4.0,4.0,67.0,Woman,,,South East,Liberal Democrat,Remain,Liberal Democrat,Missing,No don’t think of myself as any of these,,,Not Asked or missing,Not Asked or missing,20+,Teaching qualification (not degree),,A,Retired,Self-employed,Other,0.7696189857758713,2018-01-09 18:33:12,2018-01-09 18:43:14,Wrong,Very negative effect,Somewhat negative effect,Very badly,0.0,a Remainer,,,A little worse
4846,4846,4.0,5.0,56.0,Man,,,South East,Liberal Democrat,Remain,Liberal Democrat,Missing,No don’t think of myself as any of these,,,Not Asked or missing,Not Asked or missing,17-18,GCE A level or Higher Certificate,,D,Working full time (30 or more hours per week),Self-employed,"Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b",0.7177113695917259,2018-01-09 19:06:32,2018-01-09 19:22:43,Wrong,Somewhat negative effect,Neither positive nor negative,Very badly,5.0,a Remainer,,,A little worse
4847,4847,4.0,6.0,65.0,Man,,,West Midlands,Conservative,Leave,Conservative,Missing,Yes - Conservative,,,Not Asked or missing,Not Asked or missing,20+,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",,A,Retired,Other public sector employer (e.g. Central Government),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.7688431430797527,2018-01-09 18:20:58,2018-01-09 18:37:58,Right,Somewhat positive effect,Neither positive nor negative,Fairly well,3.0,a Leaver,,,A little worse
4848,4848,4.0,7.0,58.0,Man,,,Yorkshire and the Humber,Labour,Remain,Labour,Missing,Yes - Liberal Democrat,,,Not Asked or missing,Not Asked or missing,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",,C1,Working full time (30 or more hours per week),Other public sector employer (e.g. Central Government),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.6611940869411487,2018-01-09 18:31:16,2018-01-09 18:43:00,Wrong,Very negative effect,Somewhat negative effect,Very badly,0.0,a Remainer,,,A lot worse
4849,4849,4.0,8.0,42.0,Man,,,Scotland,Labour,Leave,Labour,Missing,Yes - Labour,,,Not Asked or missing,Not Asked or missing,16,Prefer not to say,,D,Working full time (30 or more hours per week),Nationalised industry or public corporation (e.g. Post Office),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",2.2870741864267656,2018-01-09 20:28:39,2018-01-09 20:40:06,Right,Don't know,Don't know,Don't know,10.0,a Leaver,,,The same
4850,4850,4.0,9.0,55.0,Man,,,South East,Conservative,Did not vote,Conservative,Missing,Yes - Conservative,,,Not Asked or missing,Not Asked or missing,20+,University diploma,,D,Not working,Private sector firm or company (e.g. limited companies and Plcs),"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",0.736867401132789,2018-01-09 18:12:03,2018-01-09 18:20:14,Right,Somewhat positive effect,Neither positive nor negative,Fairly well,3.0,Neither a Leaver nor a Remainer,,,A little better
4851,4851,4.0,10.0,63.0,Man,,,Yorkshire and the Humber,Liberal Democrat,Remain,Liberal Democrat,Missing,Yes - Liberal Democrat,,,Not Asked or missing,Not Asked or missing,20+,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",,A,Retired,Self-employed,Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,1.132578152384556,2018-01-09 18:17:12,2018-01-09 18:33:12,Wrong,Very negative effect,Somewhat negative effect,Fairly badly,2.0,a Remainer,,,The same
4852,4852,4.0,11.0,55.0,Man,,,East Midlands,DK or did not vote,Leave,Labour,Missing,No don’t think of myself as any of these,,,Not Asked or missing,Not Asked or missing,20+,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",,E,Unemployed,Other,"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",1.2892111910960276,2018-01-09 20:31:54,2018-01-09 20:45:41,Right,Very positive effect,Somewhat positive effect,Very badly,9.0,a Leaver,,,A little worse
4853,4853,4.0,12.0,72.0,Woman,,,London,Labour,Leave,Green,Missing,Yes - Labour,,,Not Asked or missing,Not Asked or missing,16,"Nursing qualification (e.g. SEN, SRN, SCM, RGN)",,C1,Retired,Nationalised industry or public corporation (e.g. Post Office),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.768818931845226,2018-01-09 18:29:07,2018-01-09 18:47:26,Right,Very positive effect,Very positive effect,Fairly well,7.0,a Leaver,,,A lot better
4854,4854,4.0,13.0,88.0,Man,,,East Midlands,Conservative,Leave,Conservative,Missing,Yes - Conservative,,,Not Asked or missing,Not Asked or missing,15 or under,Prefer not to say,,A,Retired,Private sector firm or company (e.g. limited companies and Plcs),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.9636339078835966,2018-01-09 18:57:14,2018-01-09 19:13:41,Right,Very positive effect,Somewhat positive effect,Fairly well,6.0,a Leaver,,,A little worse
4855,4855,4.0,14.0,61.0,Woman,,,West Midlands,UKIP,Remain,Liberal Democrat,Missing,Yes - Conservative,,,Not Asked or missing,Not Asked or missing,17-18,"Nursing qualification (e.g. SEN, SRN, SCM, RGN)",,C1,Working part time (8-29 hours a week),Nationalised industry or public corporation (e.g. Post Office),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.7973777217942338,2018-01-09 17:55:31,2018-01-09 18:06:28,Wrong,Somewhat negative effect,Neither positive nor negative,Don't know,5.0,a Remainer,,,A little worse
4856,4856,4.0,15.0,71.0,Woman,,,East of England,Conservative,Leave,Conservative,Missing,Yes - Conservative,,,Not Asked or missing,Not Asked or missing,15 or under,"Other technical, professional or higher qualification",,C1,Retired,Self-employed,"Skilled Manual Work (e.g. plumber, electrician, fitter)",0.9335506966447504,2018-01-09 17:54:49,2018-01-09 18:13:26,Right,Very positive effect,Very positive effect,Fairly badly,5.0,a Leaver,,,A little worse
4857,4857,4.0,16.0,72.0,Man,,,North East,Conservative,Leave,Conservative,Missing,Yes - Conservative,,,Not Asked or missing,Not Asked or missing,15 or under,No formal qualifications,,D,Retired,Private sector firm or company (e.g. limited companies and Plcs),"Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b",0.7717626400703037,2018-01-09 18:25:16,2018-01-09 18:41:52,Right,Somewhat positive effect,Neither positive nor negative,Fairly well,7.0,a Leaver,,,A little better
4858,4858,4.0,17.0,70.0,Man,,,North West,UKIP,Leave,Conservative,Missing,Yes - Conservative,,,Not Asked or missing,Not Asked or missing,16,"Nursing qualification (e.g. SEN, SRN, SCM, RGN)",,C1,Retired,Nationalised industry or public corporation (e.g. Post Office),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",1.0189358779876416,2018-01-09 19:40:31,2018-01-09 19:55:01,Right,Very positive effect,Very positive effect,Fairly badly,5.0,a Leaver,,,A little worse
4859,4859,4.0,18.0,34.0,Man,,,South East,Labour,Remain,Labour,Missing,No don’t think of myself as any of these,,,Not Asked or missing,Not Asked or missing,20+,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",,C1,Working full time (30 or more hours per week),Charity/voluntary sector,"Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)",1.3949750221896595,2018-01-09 18:14:09,2018-01-09 18:22:33,Wrong,Somewhat negative effect,Neither positive nor negative,Fairly badly,7.0,a Remainer,,,The same
4860,4860,4.0,19.0,46.0,Man,,,South East,Green,Remain,Labour,Missing,Yes - Labour,,,Not Asked or missing,Not Asked or missing,17-18,"Other technical, professional or higher qualification",,B,Working full time (30 or more hours per week),Private sector firm or company (e.g. limited companies and Plcs),"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",0.7933070178365449,2018-01-09 18:34:11,2018-01-09 18:45:56,Wrong,Very negative effect,Very negative effect,Very badly,3.0,a Remainer,,,The same
4861,4861,4.0,20.0,58.0,Woman,,,Yorkshire and the Humber,Labour,Remain,Labour,Missing,Yes some other party,,,Not Asked or missing,Not Asked or missing,19,City & Guilds certificate,,E,Not working,Other,"Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b",0.7522954437304786,2018-01-09 18:04:13,2018-01-10 00:21:57,Wrong,Very negative effect,Don't know,Very badly,10.0,a Remainer,,,A lot worse
