age,sex,region,GEvote2015,EURef2016,political_attention,newspaper_readership,profile_gross_personal,profile_gross_household,education_age,education_level,socialgradeCIE2,work_stat,work_organisation,work_type,Hindsight,Poscountry,Posind,Govthand,Tradeimmig,BrexitID
76,"Man","South West","Liberal Democrat","Remain",0,"None","Prefer not to answer","Not Asked or missing","16","Other technical, professional or higher qualification","C1","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Wrong","Somewhat negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
55,"Man","Wales","Other","Leave",8,"The Guardian","£30,000 to £34,999 per year","Not Asked or missing","17-18","City & Guilds certificate","A","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Somewhat positive effect","Somewhat positive effect","Fairly badly",5,"a Leaver"
43,"Man","Yorkshire and the Humber","Liberal Democrat","Leave",0,"The Daily Mail / The Scottish Daily Mail","£45,000 to £49,999 per year","Not Asked or missing","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","A","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Somewhat positive effect","Somewhat positive effect","Fairly badly",5,"a Leaver"
32,"Woman","Yorkshire and the Humber","Conservative","Leave",8,"None","£30,000 to £34,999 per year","Not Asked or missing","20+","Other technical, professional or higher qualification","B","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Somewhat negative effect","Neither positive nor negative","Very badly",3,"a Remainer"
66,"Woman","East of England","Conservative","Leave",10,"The Guardian","Prefer not to answer","Not Asked or missing","20+","Other technical, professional or higher qualification","D","Retired","Other public sector employer (e.g. Central Government)","Other","Right","Somewhat positive effect","Somewhat positive effect","Very badly",8,"a Leaver"
40,"Man","South West","Liberal Democrat","Remain",7,"The Daily Mail / The Scottish Daily Mail","Prefer not to answer","Not Asked or missing","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","A","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Somewhat negative effect","Neither positive nor negative","Don't know",3,"a Remainer"
42,"Man","Scotland","Labour","Leave",6,"The Times","£25,000 to £29,999 per year","Not Asked or missing","16","Other technical, professional or higher qualification","C1","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don’t know","Don't know","Don't know","Don't know",10,"a Leaver"
41,"Man","Scotland","UKIP","Remain",0,"The Independent","Prefer not to answer","Not Asked or missing","20+","Other technical, professional or higher qualification","B","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Somewhat negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
63,"Woman","North West","Other","Leave",4,"Other Newspaper","Prefer not to answer","Not Asked or missing","17-18","University diploma","B","Retired","Nationalised industry or public corporation (e.g. Post Office)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Somewhat positive effect","Neither positive nor negative","Don't know",3,"a Leaver"
66,"Woman","Yorkshire and the Humber","Conservative","Remain",7,"None","£15,000 to £19,999 per year","Not Asked or missing","17-18","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","A","Retired","Charity/voluntary sector","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Somewhat positive effect","Neither positive nor negative","Fairly well",1,"Neither a Leaver nor a Remainer"
61,"Man","East of England","Conservative","Leave",0,"The Guardian","£35,000 to £39,999 per year","Not Asked or missing","16","CSE grade 1, GCE O level, GCSE, School Certificate","C1","Retired","Other public sector employer (e.g. Central Government)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Very positive effect","Very positive effect","Very badly",5,"a Leaver"
67,"Man","East Midlands","Other","Leave",10,"The Daily Mail / The Scottish Daily Mail","£35,000 to £39,999 per year","Not Asked or missing","15 or under","University diploma","C1","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Somewhat negative effect","Very positive effect","Very badly",1,"a Leaver"
74,"Woman","North West","Conservative","Leave",9,"The Times","£10,000 to £14,999 per year","Not Asked or missing","17-18","Clerical and commercial","B","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Very positive effect","Very positive effect","Very badly",5,"a Leaver"
74,"Woman","London","Liberal Democrat","Remain",8,"The Independent","Prefer not to answer","Not Asked or missing","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","E","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Somewhat negative effect","Neither positive nor negative","Fairly badly",6,"a Remainer"
74,"Man","North East","Conservative","Remain",0,"None","£35,000 to £39,999 per year","Not Asked or missing","16","Other technical, professional or higher qualification","B","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Don't know","Don't know","Don't know",5,"a Remainer"
70,"Man","East Midlands","Conservative","Leave",6,"The Guardian","£15,000 to £19,999 per year","Not Asked or missing","15 or under","Other technical, professional or higher qualification","C1","Retired","Other public sector employer (e.g. Central Government)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Very positive effect","Very positive effect","Very badly",10,"a Leaver"
74,"Man","South East","Conservative","Leave",0,"The Daily Mail / The Scottish Daily Mail","£40,000 to £44,999 per year","Not Asked or missing","16","CSE grade 1, GCE O level, GCSE, School Certificate","C1","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Somewhat positive effect","Somewhat positive effect","Fairly badly",2,"a Leaver"
74,"Woman","London","Conservative","Remain",10,"None","Prefer not to answer","Not Asked or missing","20+","Other technical, professional or higher qualification","A","Working part time (Less than 8 hours a week)","Self-employed","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Somewhat negative effect","Neither positive nor negative","Fairly badly",3,"Neither a Leaver nor a Remainer"
61,"Man","South West","Conservative","Leave",8,"The Guardian","£45,000 to £49,999 per year","Not Asked or missing","16","Other technical, professional or higher qualification","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don’t know","Somewhat positive effect","Neither positive nor negative","Fairly badly",3,"Neither a Leaver nor a Remainer"
68,"Woman","South East","Conservative","Leave",8,"The Daily Mail / The Scottish Daily Mail","£15,000 to £19,999 per year","Not Asked or missing","15 or under","Other technical, professional or higher qualification","C2","Retired","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Very positive effect","Neither positive nor negative","Fairly well",8,"Neither a Leaver nor a Remainer"
70,"Man","West Midlands","Labour","Remain",3,"None","Prefer not to answer","Not Asked or missing","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","C1","Retired","Other public sector employer (e.g. Central Government)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
46,"Man","East Midlands","DK or did not vote","Did not vote",0,"The Guardian","£30,000 to £34,999 per year","Not Asked or missing","17-18","GCE A level or Higher Certificate","A","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Somewhat negative effect","Somewhat negative effect","Very badly",5,"Neither a Leaver nor a Remainer"
81,"Man","Yorkshire and the Humber","Conservative","Leave",6,"The Daily Mail / The Scottish Daily Mail","£20,000 to £24,999 per year","Not Asked or missing","15 or under","No formal qualifications","C2","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Other","Right","Neither positive nor negative","Neither positive nor negative","Fairly well",10,"a Leaver"
31,"Woman","Yorkshire and the Humber","Conservative","Remain",4,"The Times","£10,000 to £14,999 per year","Not Asked or missing","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","D","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Wrong","Somewhat negative effect","Somewhat negative effect","Fairly badly",9,"a Remainer"
42,"Woman","London","Labour","Remain",0,"None","£25,000 to £29,999 per year","Not Asked or missing","17-18","GCE A level or Higher Certificate","C1","Working full time (30 or more hours per week)","Charity/voluntary sector","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Somewhat negative effect","Fairly badly",3,"a Remainer"
49,"Woman","London","Labour","Remain",8,"The Guardian","£45,000 to £49,999 per year","Not Asked or missing","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","A","Working part time (8-29 hours a week)","Charity/voluntary sector","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
54,"Woman","North East","Labour","Remain",3,"The Daily Mail / The Scottish Daily Mail","£5,000 to £9,999 per year","Not Asked or missing","17-18","GCE A level or Higher Certificate","C1","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Very negative effect","Very negative effect","Very badly",1,"Neither a Leaver nor a Remainer"
63,"Man","West Midlands","DK or did not vote","Did not vote",8,"The Times","£20,000 to £24,999 per year","Not Asked or missing","16","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Don’t know","Neither positive nor negative","Neither positive nor negative","Very badly",0,"Neither a Leaver nor a Remainer"
40,"Woman","Yorkshire and the Humber","DK or did not vote","Leave",2,"The Independent","under £5,000 per year","Not Asked or missing","16","CSE grade 1, GCE O level, GCSE, School Certificate","D","Working part time (Less than 8 hours a week)","Self-employed","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Don’t know","Don't know","Don't know","Don't know",7,"a Leaver"
72,"Woman","Scotland","UKIP","Remain",8,"Other Newspaper","Prefer not to answer","Not Asked or missing","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","A","Retired","Other public sector employer (e.g. Central Government)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Don't know","Somewhat negative effect","Fairly badly",5,"a Remainer"
41,"Man","London","Conservative","Remain",5,"None","£60,000 to £69,999 per year","Not Asked or missing","17-18","Other technical, professional or higher qualification","B","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Somewhat negative effect","Somewhat negative effect","Fairly badly",3,"a Remainer"
67,"Man","London","Labour","Remain",9,"The Guardian","£45,000 to £49,999 per year","Not Asked or missing","16","No formal qualifications","C1","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Very negative effect","Somewhat negative effect","Very badly",5,"a Remainer"
71,"Man","West Midlands","Labour","Remain",7,"The Daily Mail / The Scottish Daily Mail","£30,000 to £34,999 per year","Not Asked or missing","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","A","Working part time (Less than 8 hours a week)","Self-employed","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Neither positive nor negative","Very badly",2,"a Remainer"
34,"Man","East Midlands","Conservative","Leave",9,"None","£25,000 to £29,999 per year","Not Asked or missing","16","GCE A level or Higher Certificate","C2","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Right","Very positive effect","Very positive effect","Don't know",6,"a Leaver"
72,"Woman","West Midlands","Conservative","Leave",5,"The Guardian","Don't know","Not Asked or missing","16","Nursing qualification (e.g. SEN, SRN, SCM, RGN)","A","Retired","Other public sector employer (e.g. Central Government)","Other","Right","Very positive effect","Neither positive nor negative","Fairly well",8,"Neither a Leaver nor a Remainer"
67,"Woman","East of England","Conservative","Leave",0,"The Daily Mail / The Scottish Daily Mail","Prefer not to answer","Not Asked or missing","17-18","Nursing qualification (e.g. SEN, SRN, SCM, RGN)","C2","Retired","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Very negative effect","Neither positive nor negative","Very badly",5,"a Leaver"
74,"Woman","South East","Liberal Democrat","Leave",8,"The Times","£10,000 to £14,999 per year","Not Asked or missing","16","Nursing qualification (e.g. SEN, SRN, SCM, RGN)","C1","Retired","Other public sector employer (e.g. Central Government)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Very positive effect","Somewhat positive effect","Very badly",5,"a Leaver"
76,"Man","Yorkshire and the Humber","Conservative","Leave",6,"The Independent","£15,000 to £19,999 per year","Not Asked or missing","15 or under","City & Guilds certificate","E","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Right","Neither positive nor negative","Neither positive nor negative","Fairly badly",5,"a Leaver"
46,"Woman","Scotland","DK or did not vote","Did not vote",3,"Other Newspaper","£10,000 to £14,999 per year","Not Asked or missing","16","GCE A level or Higher Certificate","C2","Working part time (8-29 hours a week)","Other public sector employer (e.g. Central Government)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Don’t know","Somewhat negative effect","Somewhat negative effect","Very badly",5,"Neither a Leaver nor a Remainer"
71,"Man","East Midlands","Other","Leave",9,"None","£50,000 to £59,999 per year","Not Asked or missing","16","No formal qualifications","C2","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Very positive effect","Very positive effect","Very badly",10,"a Leaver"
65,"Woman","South East","Other","Leave",3,"The Guardian","£10,000 to £14,999 per year","Not Asked or missing","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","E","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Very positive effect","Very negative effect","Very badly",10,"a Leaver"
44,"Woman","Scotland","UKIP","Leave",0,"The Daily Mail / The Scottish Daily Mail","Don't know","Not Asked or missing","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","C2","Working full time (30 or more hours per week)","Self-employed","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don’t know","Don't know","Don't know","Very badly",2,"Neither a Leaver nor a Remainer"
47,"Woman","West Midlands","DK or did not vote","Leave",10,"The Times","under £5,000 per year","Not Asked or missing","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","E","Not working","Nationalised industry or public corporation (e.g. Post Office)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Right","Neither positive nor negative","Neither positive nor negative","Very badly",4,"Neither a Leaver nor a Remainer"
77,"Woman","North East","Conservative","Leave",10,"The Independent","Prefer not to answer","Not Asked or missing","17-18","City & Guilds certificate","C1","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Very positive effect","Somewhat positive effect","Fairly well",6,"a Leaver"
45,"Man","South West","Liberal Democrat","Remain",10,"None","£25,000 to £29,999 per year","Not Asked or missing","16","Other technical, professional or higher qualification","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Very negative effect","Somewhat negative effect","Very badly",4,"a Remainer"
71,"Woman","Wales","Liberal Democrat","Remain",1,"The Guardian","£10,000 to £14,999 per year","Not Asked or missing","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","A","Working full time (30 or more hours per week)","Self-employed","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Very negative effect","Very negative effect","Very badly",0,"Neither a Leaver nor a Remainer"
61,"Woman","South East","DK or did not vote","Leave",3,"The Daily Mail / The Scottish Daily Mail","Prefer not to answer","Not Asked or missing","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","B","Retired","Charity/voluntary sector","Other","Right","Neither positive nor negative","Neither positive nor negative","Very badly",8,"a Leaver"
72,"Man","East of England","Labour","Leave",7,"None","£25,000 to £29,999 per year","Not Asked or missing","16","University or CNAA higher degree (e.g. M.Sc, Ph.D)","C2","Working part time (Less than 8 hours a week)","Self-employed","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Somewhat positive effect","Neither positive nor negative","Fairly well",5,"a Leaver"
39,"Woman","Yorkshire and the Humber","Conservative","Remain",0,"The Guardian","£10,000 to £14,999 per year","Not Asked or missing","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C1","Working part time (8-29 hours a week)","Nationalised industry or public corporation (e.g. Post Office)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Very negative effect","Very negative effect","Fairly badly",5,"a Remainer"
63,"Woman","East Midlands","DK or did not vote","Remain",4,"The Daily Mail / The Scottish Daily Mail","Prefer not to answer","Not Asked or missing","20+","University diploma","A","Working part time (8-29 hours a week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Somewhat negative effect","Somewhat negative effect","Fairly badly",2,"a Remainer"
60,"Man","West Midlands","DK or did not vote","Remain",6,"None","Prefer not to answer","Not Asked or missing","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","B","Retired","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Somewhat negative effect","Somewhat negative effect","Very well",10,"a Remainer"
70,"Woman","London","Conservative","Leave",0,"The Guardian","£5,000 to £9,999 per year","Not Asked or missing","16","No formal qualifications","D","Retired","Other","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Neither positive nor negative","Neither positive nor negative","Very badly",10,"Neither a Leaver nor a Remainer"
68,"Woman","North West","Other","Leave",8,"The Daily Mail / The Scottish Daily Mail","£5,000 to £9,999 per year","Not Asked or missing","16","No formal qualifications","D","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Somewhat positive effect","Neither positive nor negative","Very badly",10,"a Leaver"
